id,name,tag,url,rank,tier,ranked_rating,damage_per_round,kd_ratio,headshot_percent,win_percent,wins,kast,dd_per_round,kills,deaths,assists,acs,kad_ratio,kills_per_round,first_bloods,flawless_rounds,aces
2204,Ãrlando,#1515,https://tracker.gg/valorant/profile/riot/%C3%96rlando%231515/overview,2387,Immortal,132,123.1,0.91,0.267,0.7,28.0,0.706,-14.0,537.0,590.0,231.0,186.7,1.3,0.7,58.0,24.0,1.0
2205,kari,#069,https://tracker.gg/valorant/profile/riot/kari%23069/overview,2388,Immortal,132,155.1,1.08,0.288,0.607,37.0,0.727,10.0,1014.0,942.0,288.0,232.9,1.38,0.8,168.0,49.0,2.0
2206,David,#Rey,https://tracker.gg/valorant/profile/riot/David%23Rey/overview,2389,Immortal,132,145.1,1.16,0.358,0.5579999999999999,58.0,0.718,11.0,1807.0,1552.0,312.0,222.0,1.37,0.8,289.0,84.0,6.0
2207,cubbie,#fnbr,https://tracker.gg/valorant/profile/riot/cubbie%23fnbr/overview,2390,Immortal,132,130.8,0.99,0.252,0.546,77.0,0.706,-5.0,2038.0,2063.0,638.0,197.7,1.3,0.7,251.0,104.0,1.0
2208,ItzFlamezz,#9006,https://tracker.gg/valorant/profile/riot/ItzFlamezz%239006/overview,2391,Immortal,132,136.7,1.0,0.2689999999999999,0.525,74.0,0.708,2.0,2128.0,2128.0,698.0,204.4,1.33,0.7,327.0,103.0,1.0
2209,SIR FAPPINGTON,#GYATT,https://tracker.gg/valorant/profile/riot/SIR%20FAPPINGTON%23GYATT/overview,2392,Immortal,132,150.8,1.07,0.314,0.495,97.0,0.7120000000000001,9.0,3265.0,3060.0,944.0,229.9,1.38,0.8,524.0,160.0,7.0
2210,dreicouv,#007,https://tracker.gg/valorant/profile/riot/dreicouv%23007/overview,2393,Immortal,132,149.0,1.08,0.3779999999999999,0.491,110.0,0.691,8.0,3789.0,3522.0,674.0,225.0,1.27,0.8,634.0,177.0,8.0
2211,Timothy,#Tiff,https://tracker.gg/valorant/profile/riot/Timothy%23Tiff/overview,2394,Immortal,132,156.3,1.13,0.239,0.5429999999999999,203.0,0.706,14.0,6489.0,5733.0,1356.0,244.1,1.37,0.8,1395.0,296.0,18.0
2212,walnut,#00000,https://tracker.gg/valorant/profile/riot/walnut%2300000/overview,2395,Immortal,132,152.6,1.09,0.247,0.545,67.0,0.726,14.0,2084.0,1911.0,647.0,225.5,1.43,0.8,298.0,79.0,2.0
2213,Nicom0re,#SHY,https://tracker.gg/valorant/profile/riot/Nicom0re%23SHY/overview,2396,Immortal,131,147.4,1.01,0.259,0.49,97.0,0.7140000000000001,5.0,3099.0,3077.0,1166.0,220.6,1.39,0.7,486.0,144.0,9.0
2214,loyski,#chell,https://tracker.gg/valorant/profile/riot/loyski%23chell/overview,2397,Immortal,131,125.7,0.96,0.233,0.509,145.0,0.727,-5.0,4036.0,4189.0,1820.0,189.2,1.4,0.7,337.0,214.0,2.0
2215,HAKUNANA MATATA,#RAD,https://tracker.gg/valorant/profile/riot/HAKUNANA%20MATATA%23RAD/overview,2398,Immortal,131,148.7,1.0,0.246,0.529,73.0,0.6990000000000001,4.0,2170.0,2162.0,706.0,226.9,1.33,0.8,434.0,119.0,6.0
2216,chrischrischris,#kolby,https://tracker.gg/valorant/profile/riot/chrischrischris%23kolby/overview,2399,Immortal,131,143.6,1.02,0.27,0.477,135.0,0.701,-2.0,4553.0,4467.0,1299.0,219.6,1.31,0.8,645.0,196.0,11.0
2217,KUANH,#paige,https://tracker.gg/valorant/profile/riot/KUANH%23paige/overview,2400,Immortal,131,137.5,0.97,0.314,0.497,83.0,0.723,0.0,2498.0,2564.0,925.0,202.4,1.34,0.7,287.0,130.0,3.0
2218,Cynd,#4946,https://tracker.gg/valorant/profile/riot/Cynd%234946/overview,2401,Immortal,131,122.8,0.87,0.17,0.523,45.0,0.746,-8.0,1109.0,1277.0,725.0,184.7,1.44,0.6,98.0,80.0,1.0
2219,AV fluffypenguin,#314,https://tracker.gg/valorant/profile/riot/AV%20fluffypenguin%23314/overview,2402,Immortal,131,142.8,1.01,0.293,0.503,89.0,0.721,2.0,2808.0,2775.0,878.0,218.3,1.33,0.8,397.0,131.0,7.0
2220,bigmxtt,#2005,https://tracker.gg/valorant/profile/riot/bigmxtt%232005/overview,2403,Immortal,131,148.0,1.13,0.285,0.534,86.0,0.7440000000000001,8.0,2692.0,2382.0,848.0,222.1,1.49,0.8,313.0,133.0,2.0
2221,intox,#001,https://tracker.gg/valorant/profile/riot/intox%23001/overview,2404,Immortal,130,152.4,1.13,0.255,0.456,26.0,0.736,16.0,999.0,881.0,367.0,230.7,1.55,0.8,112.0,56.0,0.0
